,x_0,x_1,x_2,y_0,y_1,y_2
1717,1,5,2,3,1,2
14654,7,8,3,1,1,1
3878,2,5,4,2,3,2
1812,1,5,6,2,2,3
12595,6,8,3,1,3,1
2959,2,1,5,1,1,1
8936,5,1,1,2,2,2
5816,3,5,0,1,3,0
6901,3,9,9,1,2,1
5369,3,2,9,2,3,2
966,1,2,1,1,3,2
4700,2,9,1,1,2,2
5276,3,2,5,3,3,3
14391,7,7,1,3,2,3
17914,9,4,2,3,2,2
3799,2,5,1,1,3,3
9681,5,4,5,1,1,3
18550,9,7,0,1,3,0
140,0,2,8,0,1,3
4816,2,9,5,3,2,2
15122,8,1,3,1,2,2
13904,7,5,1,1,2,1
9023,5,1,5,1,2,2
1392,1,3,8,3,1,2
19060,9,9,2,2,3,2
5412,3,3,2,1,1,2
5474,3,3,5,1,2,2
11455,6,3,3,3,1,1
15654,8,3,5,2,2,2
14256,7,6,5,3,2,2
1314,1,3,5,3,2,1
7877,4,5,2,3,2,1
11632,6,4,1,3,2,3
18186,9,5,4,1,3,3
9701,5,4,5,3,3,2
6074,3,6,2,1,1,2
831,1,1,5,1,3,3
9426,5,3,3,1,3,2
13961,7,5,3,2,1,2
13102,7,1,5,2,3,3
249,0,4,3,0,1,1
5018,3,1,4,2,3,1
5430,3,3,2,3,3,3
1275,1,3,4,1,3,2
18599,9,7,2,3,1,1
3594,2,4,2,2,3,1
5216,3,2,3,1,3,3
11004,6,1,3,3,3,1
10772,5,9,3,3,1,3
13743,7,4,3,3,3,1
1030,1,2,3,3,1,3
8982,5,1,3,2,1,1
13480,7,3,2,1,2,3
11390,6,3,0,3,3,0
9867,5,5,3,2,3,2
