,x_0,x_1,x_2,y_0,y_1,y_2
1760,1,5,3,2,2,1
1858,1,5,7,2,1,2
3976,2,5,8,1,3,1
12916,6,8,0,1,3,0
15027,7,7,9,3,3,3
7074,4,1,1,2,2,3
5101,3,1,6,2,3,3
6902,3,9,4,1,2,3
4905,2,9,8,2,2,2
8164,4,5,6,3,3,3
799,1,1,3,1,1,1
8601,4,7,6,1,1,1
18154,9,3,3,2,1,1
7725,4,3,8,2,1,2
17213,8,8,3,3,1,3
3342,2,3,1,1,2,2
15524,8,1,1,2,3,3
12267,6,5,2,2,2,2
6383,3,7,1,3,2,3
13188,6,9,2,1,3,3
11550,6,2,2,1,1,1
658,0,9,0,0,2,0
79,0,1,9,0,2,2
10852,5,8,2,2,1,1
19072,9,7,2,1,3,1
4510,2,8,2,1,2,1
7589,4,3,2,3,3,1
210,0,3,5,0,3,3
17387,8,9,1,2,1,1
4369,2,7,5,3,2,2
3235,2,2,6,1,1,1
5739,3,4,3,3,1,3
15978,8,3,0,3,3,0
15086,7,8,2,3,3,1
8988,4,9,2,3,3,2
7154,4,1,4,3,1,1
5518,3,3,4,1,3,2
6205,3,6,4,1,1,3
13526,7,1,6,1,2,2
16808,8,6,6,1,1,2
2958,2,1,4,2,3,1
532,0,7,5,0,1,2
1087,1,2,4,3,2,3
13726,7,2,4,3,2,2
12810,6,7,5,3,2,2
5033,3,1,4,1,1,3
15562,8,1,3,1,1,3
9239,5,1,3,2,3,1
8339,4,6,4,2,3,1
12096,6,4,5,1,2,3
772,1,1,1,3,3,3
9514,5,2,5,1,2,1
11580,6,2,3,1,3,3
12748,6,7,3,1,1,3
1160,1,2,7,3,1,3
2865,2,1,0,3,1,0
9497,5,2,4,2,1,3
5582,3,3,6,3,3,1
15525,8,1,1,3,1,1
18231,9,3,6,2,2,2
11545,6,2,1,3,2,2
10433,5,6,3,3,1,3
9320,5,1,6,3,2,2
10694,5,7,5,1,2,3
2223,1,7,3,2,3,3
8281,4,6,2,1,2,2
8799,4,8,4,3,1,2
4331,2,7,4,1,3,1
7682,4,3,6,2,2,3
16536,8,5,4,2,3,1
9878,5,4,0,1,2,0
8732,4,8,2,1,1,3
7790,4,4,1,2,2,3
13001,6,8,4,1,2,1
10660,5,7,3,2,3,3
2910,2,1,2,3,1,2
7812,4,4,2,2,1,1
11759,6,3,1,1,2,3
8783,4,8,4,1,1,1
12699,6,7,1,1,2,2
