d,h/d,b,E,ll,sdl,max_uz
170.0,1.0,5000.0,24000.0,-1.5,0.0,0.3629372657693148
130.0,1.75,4500.0,37400.0,-2.0,-0.25,1.49096057257029
210.0,1.25,2000.0,34800.0,-3.5,-0.5,0.007005020969071808
180.0,2.0,2500.0,30100.0,-2.5,-0.25,0.15112291929041288
180.0,1.75,3500.0,24000.0,-3.0,-1.25,0.45407779867837217
210.0,1.0,5000.0,26700.0,-3.0,-0.5,0.20768334474317407
130.0,1.25,5000.0,34800.0,-2.0,-0.5,0.841563203071008
200.0,2.25,4000.0,32800.0,-2.5,-1.0,1.1615743647669656
110.0,1.75,3500.0,32800.0,-4.0,-1.25,1.3357079282000623
240.0,2.25,1000.0,30100.0,-5.0,0.0,0.0034661800113177615
140.0,2.25,4000.0,32800.0,-5.0,-1.5,3.38651419088656
160.0,1.0,4500.0,37400.0,-1.5,0.0,0.16465542110403297
160.0,1.75,4000.0,24000.0,-3.5,-1.5,0.8608633197555806
150.0,1.5,4000.0,32800.0,-2.5,-1.25,0.4409988615143944
170.0,1.75,1500.0,32800.0,-1.5,-0.5,0.01151302083310683
150.0,2.0,5000.0,26700.0,-2.0,-1.5,3.8566657330032887
130.0,2.25,2500.0,34800.0,-3.0,0.0,0.4435588129298737
130.0,1.75,1500.0,26700.0,-5.0,-1.0,0.03722432243615804
170.0,1.75,4500.0,32800.0,-2.0,-1.5,0.9502923290228851
200.0,1.5,2500.0,37400.0,-2.0,-1.25,0.035119130837091006
120.0,2.0,3500.0,24000.0,-4.0,-1.5,2.2350595486871208
200.0,2.0,4500.0,30100.0,-3.5,-1.5,1.262487454949331
230.0,1.0,5000.0,32800.0,-5.0,-1.25,0.15012750010167122
230.0,2.25,1500.0,39600.0,-1.5,-0.25,0.013988255785706989
250.0,1.0,4500.0,37400.0,-2.5,-1.25,0.07193905118454764
130.0,2.0,5000.0,42200.0,-3.5,-1.5,3.7484742383477414
220.0,1.0,4000.0,37400.0,-4.0,-0.25,0.05717714803390757
170.0,1.25,1500.0,24000.0,-3.5,-1.25,0.004825043334454554
190.0,1.75,4500.0,39600.0,-4.0,-1.0,0.6201753889488666
220.0,2.0,2500.0,37400.0,-5.0,0.0,0.07872730190108218
100.0,1.75,2500.0,24000.0,-5.0,-1.25,0.7359089562734291
140.0,1.0,2000.0,32800.0,-1.5,-0.5,0.00966222710654476
240.0,1.25,5000.0,39600.0,-1.5,-1.5,0.18878187572640695
140.0,1.0,3000.0,34800.0,-3.0,-1.5,0.046348775850325194
220.0,2.25,2500.0,39600.0,-3.5,-1.5,0.12344390969603238
100.0,1.5,1000.0,34800.0,-3.5,-0.25,0.0052980476553236965
120.0,1.75,3000.0,30100.0,-2.5,0.0,0.3940092638365736
120.0,2.25,1500.0,34800.0,-3.5,-0.25,0.06897090294654123
190.0,1.0,3500.0,34800.0,-1.5,-0.5,0.04716548679092354
130.0,2.0,2500.0,42200.0,-2.5,-1.25,0.2080985908122051
130.0,2.0,5000.0,34800.0,-2.0,-0.25,4.040500967100936
140.0,1.75,3500.0,24000.0,-2.5,0.0,0.6369809810451393
150.0,1.5,2500.0,34800.0,-3.0,-1.0,0.06877585576448256
210.0,1.75,2000.0,32800.0,-4.0,-0.25,0.023089979029136978
110.0,1.75,1000.0,30100.0,-3.0,-1.5,0.00595420567393712
110.0,2.0,2500.0,34800.0,-2.0,-0.5,0.31240329881824963
110.0,1.25,3000.0,39600.0,-3.0,-1.0,0.126274067447865
170.0,2.25,2500.0,32800.0,-4.0,-0.25,0.2554702816563098
150.0,1.75,3000.0,24000.0,-4.0,-0.25,0.3649495396470324
200.0,2.25,2500.0,39600.0,-3.0,-0.25,0.15285251644751113
130.0,1.25,2000.0,39600.0,-2.0,-1.5,0.01729936117337804
160.0,1.25,3500.0,37400.0,-3.0,-0.25,0.10739609852071039
180.0,1.5,4500.0,30100.0,-5.0,-0.5,0.5876414271185422
140.0,1.25,1500.0,34800.0,-5.0,-0.25,0.007943915385594857
220.0,1.0,4500.0,42200.0,-5.0,-1.5,0.0810826498944636
210.0,1.5,4500.0,26700.0,-2.0,-1.5,0.41718364099887045
230.0,1.75,1500.0,42200.0,-5.0,-1.0,0.0045724676321315764
230.0,2.0,2000.0,30100.0,-4.0,-0.5,0.03774009009233083
250.0,1.0,2000.0,39600.0,-3.5,-1.0,0.0026352465415610026
100.0,1.5,4500.0,39600.0,-1.5,0.0,1.3024805120429779
170.0,1.5,3500.0,26700.0,-2.5,0.0,0.2393770356799793
200.0,1.0,5000.0,37400.0,-2.5,-1.25,0.1716363324469443
130.0,1.75,1500.0,37400.0,-1.5,-1.5,0.018583784512963823
180.0,1.25,4000.0,26700.0,-5.0,-0.25,0.2340878808673393
190.0,1.5,1500.0,30100.0,-2.5,-1.0,0.00601747807455385
220.0,2.25,5000.0,37400.0,-3.5,0.0,2.002531146992905
250.0,1.25,4500.0,32800.0,-3.0,-1.5,0.14446866526468788
160.0,2.0,1000.0,39600.0,-3.0,-1.0,0.003404982510423243
210.0,1.5,1500.0,26700.0,-2.0,-1.0,0.005441774794170544
110.0,1.5,4500.0,42200.0,-2.5,-0.5,0.9182816661695027
160.0,1.25,1000.0,26700.0,-3.0,-0.5,0.001014325777809738
130.0,1.5,4000.0,30100.0,-2.5,-0.25,0.6561996799171731
190.0,2.25,1000.0,34800.0,-4.0,-1.0,0.004864556030729252
150.0,2.0,4000.0,39600.0,-3.0,-0.25,1.0649610126049576
110.0,1.0,3500.0,30100.0,-1.5,-1.25,0.15327749073760977
240.0,2.0,2500.0,24000.0,-5.0,-1.25,0.10176647438852124
190.0,1.0,4000.0,34800.0,-3.0,0.0,0.08071819094226688
230.0,1.5,1500.0,42200.0,-5.0,-0.5,0.0028217443626684774
160.0,1.0,5000.0,24000.0,-1.5,0.0,0.39179680376545584
140.0,2.25,4000.0,42200.0,-1.5,-1.25,1.7547814449366934
230.0,1.75,3000.0,24000.0,-2.0,-0.5,0.13033685255738953
240.0,2.0,3000.0,39600.0,-3.5,0.0,0.1279319209441338
210.0,1.75,2000.0,30100.0,-2.0,-1.5,0.025161173162857816
100.0,2.25,4500.0,26700.0,-2.5,-1.0,8.819601644269204
220.0,2.0,2500.0,42200.0,-2.5,0.0,0.06977253771382051
180.0,1.0,5000.0,39600.0,-2.5,-1.0,0.20383067977129704
250.0,1.5,4500.0,42200.0,-3.0,-0.5,0.2077062263049028
230.0,2.0,3000.0,39600.0,-5.0,-1.0,0.1453547197352122
210.0,1.25,3500.0,39600.0,-4.0,-1.25,0.05981439595306413
240.0,1.25,2500.0,26700.0,-5.0,-0.5,0.01738093218661267
100.0,1.0,3500.0,26700.0,-4.0,-1.25,0.38331906610763977
220.0,1.5,3000.0,42200.0,-4.0,-1.0,0.04953339580360155
100.0,1.25,3000.0,42200.0,-3.5,-1.0,0.21939237234947903
100.0,1.25,1500.0,24000.0,-4.0,0.0,0.023705437902141524
110.0,1.5,3000.0,30100.0,-3.0,-1.25,0.29914981079729575
200.0,1.5,1500.0,42200.0,-2.5,-1.5,0.003363755929403305
170.0,1.5,3000.0,32800.0,-3.0,-1.25,0.10624650082068648
250.0,1.75,3500.0,26700.0,-1.5,0.0,0.20262081452600225
200.0,1.0,5000.0,39600.0,-5.0,-1.0,0.16210098061321732
140.0,2.0,3500.0,42200.0,-3.5,-0.5,0.7204270816748793
140.0,2.25,2500.0,37400.0,-4.0,0.0,0.4011486041464831
170.0,1.25,3000.0,37400.0,-1.5,-0.5,0.055561195535617953
150.0,2.0,1000.0,37400.0,-2.0,-1.25,0.0043754692902548825
220.0,1.25,4000.0,32800.0,-4.0,-0.25,0.11306493225836171
180.0,1.0,3000.0,30100.0,-2.0,-1.5,0.03466732296475017
160.0,2.0,1000.0,30100.0,-2.0,-1.0,0.004479644764559174
180.0,1.25,2000.0,32800.0,-3.5,0.0,0.010818489997922872
220.0,2.0,1000.0,32800.0,-2.5,-0.25,0.0022841729076177137
230.0,1.75,2000.0,34800.0,-5.0,-1.0,0.019325881133894055
160.0,2.25,3000.0,30100.0,-4.0,-0.25,0.639870176348692
170.0,1.0,5000.0,42200.0,-5.0,-0.5,0.2476917832789889
180.0,1.0,2000.0,32800.0,-5.0,-1.5,0.00681922612662063
110.0,1.25,4000.0,34800.0,-4.0,-0.5,0.6557966009531307
200.0,1.75,3000.0,37400.0,-2.0,-1.25,0.12789071589981063
150.0,1.5,4000.0,34800.0,-3.5,-1.5,0.4156540993721408
190.0,2.0,4500.0,26700.0,-2.0,-0.5,1.521678584068554
150.0,2.25,1000.0,24000.0,-1.5,-1.5,0.012021031212744076
100.0,1.25,1000.0,24000.0,-3.0,0.0,0.003685670117791688
200.0,1.5,2000.0,24000.0,-2.0,-1.25,0.021112045107757948
210.0,2.25,4000.0,39600.0,-4.0,0.0,0.8311086067209209
160.0,2.25,1000.0,39600.0,-2.5,-0.5,0.006003045150175623
190.0,1.5,2000.0,42200.0,-2.5,-1.0,0.01283718260991672
250.0,2.25,4000.0,24000.0,-2.0,-1.25,1.0159903778101231
120.0,1.5,4500.0,30100.0,-3.5,-1.25,1.6422585343902592
110.0,2.0,2000.0,37400.0,-2.0,-1.0,0.1189943916996891
240.0,1.0,1000.0,26700.0,-4.0,-0.25,0.00024955598245855986
120.0,1.0,2000.0,32800.0,-3.5,-1.0,0.01726116613298604
240.0,2.25,3500.0,37400.0,-3.5,-1.5,0.4098567692442863
190.0,1.75,4000.0,24000.0,-5.0,-0.25,0.6854441672190619
250.0,1.5,3500.0,42200.0,-2.0,-1.5,0.06670510629796403
120.0,2.25,4000.0,32800.0,-2.0,-0.5,3.1369678083343895
120.0,2.25,4500.0,37400.0,-2.5,-1.25,4.251005633936786
120.0,1.0,1000.0,24000.0,-5.0,-0.25,0.001903755637612214
120.0,1.25,2000.0,39600.0,-1.5,0.0,0.019245289025292635
250.0,1.25,3500.0,39600.0,-3.0,0.0,0.04136093702908028
170.0,1.5,1500.0,26700.0,-3.5,-0.25,0.008683734616592845
200.0,1.75,2000.0,42200.0,-1.5,-1.0,0.020775564283028285
180.0,1.0,2000.0,37400.0,-4.0,-0.5,0.005482122964546039
140.0,1.25,5000.0,26700.0,-4.0,0.0,1.0075481357693383
190.0,1.75,2500.0,34800.0,-3.5,0.0,0.06782764250787572
250.0,1.75,1000.0,26700.0,-3.0,-0.5,0.0012437957162160771
150.0,1.25,1000.0,32800.0,-1.5,-1.5,0.0009005690864081306
210.0,1.5,1000.0,26700.0,-2.5,-0.25,0.000994179251992
230.0,2.0,3500.0,30100.0,-3.5,0.0,0.3543415742930044
100.0,2.0,3000.0,30100.0,-3.0,-1.0,1.1633525359258676
250.0,2.25,2500.0,26700.0,-1.5,-0.25,0.14211751522982674
240.0,2.0,5000.0,24000.0,-1.5,-1.0,1.6294370893508463
240.0,2.25,3000.0,34800.0,-4.0,-1.25,0.22957964436600417
220.0,2.25,1500.0,34800.0,-1.5,-1.25,0.016570375318776684
110.0,1.25,1500.0,42200.0,-2.5,-0.5,0.006752700040845711
