,x_0,x_1,x_2,y_0,y_1,y_2
3878,2,6,1,1,2,2
1813,1,5,8,2,1,2
1717,1,5,4,2,2,3
12596,6,8,5,1,3,3
14655,7,8,5,2,3,2
69,0,1,8,0,3,2
6925,4,1,6,2,2,2
2614,1,9,3,3,2,1
6011,3,6,6,1,3,1
6751,3,9,8,3,2,3
7286,4,3,3,1,2,3
11160,6,2,1,3,2,2
582,0,8,3,0,2,3
629,0,8,8,0,3,2
9732,5,4,9,2,2,2
725,1,1,0,2,2,0
17659,9,3,4,1,2,2
18543,9,7,0,2,1,0
3203,2,2,9,3,3,2
8228,4,7,3,3,2,2
96,0,2,2,0,3,3
5464,3,4,2,3,2,1
6584,3,9,2,1,3,2
15975,8,5,2,3,2,2
14786,7,9,1,2,2,3
17082,9,1,1,1,1,1
2831,2,1,2,3,3,3
8384,4,8,0,2,1,0
1308,1,3,6,2,3,1
14355,7,7,2,1,3,1
4825,3,1,3,2,1,1
824,1,1,5,1,1,3
18601,9,7,3,1,1,3
5939,3,6,3,1,3,3
15071,8,1,3,3,2,1
4998,3,2,1,1,3,1
4326,2,8,1,3,1,3
15483,8,3,1,1,3,2
14343,7,7,1,3,1,2
15177,8,1,7,3,2,3
9509,5,4,0,1,1,0
7568,4,4,5,2,1,1
12112,6,6,4,1,1,2
13520,7,3,5,3,1,2
4418,2,8,5,2,2,3
10756,5,9,4,1,1,1
13303,7,2,6,1,3,1
5319,3,3,5,3,3,3
8169,4,7,1,2,3,1
18839,9,8,2,3,3,2
3223,2,3,1,2,1,3
11192,6,2,3,1,3,1
3072,2,2,4,1,3,2
15473,8,3,0,3,1,0
15840,8,4,6,2,3,3
10253,5,7,2,1,1,1
9765,5,5,1,2,2,3
11196,6,2,3,2,1,3
9289,5,3,0,3,3,0
9165,5,2,4,3,2,1
13682,7,4,3,1,2,1
8159,4,7,1,1,2,3
7063,4,2,2,3,2,3
6382,3,8,3,1,1,3
10309,5,7,4,1,3,1
10724,5,9,2,3,1,1
9394,5,3,5,1,3,2
13473,7,3,3,2,3,3
12558,6,8,3,2,2,2
12108,6,6,3,3,3,1
3332,2,3,6,1,2,3
17468,9,2,6,2,1,1
10368,5,7,6,3,1,1
13477,7,3,3,3,2,1
9432,5,3,6,3,2,2
10905,6,1,0,1,2,0
1243,1,3,3,3,2,2
12511,6,8,1,2,2,1
12134,6,6,4,3,2,3
10482,5,8,1,3,3,3
9084,5,2,1,1,3,3
6363,3,8,2,2,1,1
9586,5,4,3,3,1,2
10286,5,7,3,1,3,3
8743,4,9,5,3,3,1
11231,6,2,5,1,1,2
15015,8,1,1,2,2,3
3934,2,6,3,2,2,1
15369,8,2,6,1,2,3
8037,4,6,5,2,1,3
3261,2,3,3,1,1,2
12033,6,6,0,1,3,0
2357,1,8,2,2,3,3
14171,7,6,4,1,3,3
14372,7,7,2,3,3,3
9291,5,3,1,1,1,2
11049,6,1,6,3,1,1
9992,5,6,0,3,2,0
11032,6,1,5,3,3,3
10797,5,9,5,3,1,3
