,f_res
1753,31.25287458778792
3958,30.224486331449867
1850,73.71205802987731
12858,44.348019910701765
14960,59.29858370146795
7040,12.325572605359964
643,25.9073242008896
3106,59.91392734882267
4820,58.77612260093379
10196,96.39175768186821
17566,18.442349469631033
4528,34.935198568206246
3012,47.71367403585685
13981,36.85217787322752
19207,41.21603874707029
100,16.148459085002507
11938,20.70712313818605
7906,30.682178996935665
9472,33.34726892865441
19385,66.25347937278464
3434,25.170092358988278
502,33.5881792255847
8597,38.84612890623723
11227,39.40019786752346
18554,41.43182177988315
3169,19.920821691888115
12315,27.263037780115408
9585,31.364723719490982
8207,56.326224176665704
18108,54.47654354857694
1158,24.368169228113956
6081,24.257171627582636
9564,21.583942838369456
14182,23.947706397273205
17261,49.5355765687652
3368,11.607706519808296
15631,25.702758937514858
2662,49.91576595625875
6963,55.334777138794
15167,70.90260672217913
