x_0,x_1,x_2,y_0,y_1,y_2,f_res
9,5,1,3,1,1,33.47720183946083
4,9,9,1,2,2,86.12244684169163
4,7,9,1,2,1,52.716864218198715
3,2,6,2,1,3,61.387539729166534
1,3,7,2,3,2,0.0
1,7,1,3,2,1,27.759662336563103
6,1,4,3,1,1,26.146623816470072
5,2,5,3,3,3,57.84193345661951
2,9,0,3,3,0,49.372708544296
4,6,8,1,1,3,85.6951955129341
8,5,2,2,1,1,58.49377629021741
6,5,0,2,1,0,20.51794850856196
7,3,4,1,3,2,36.105870478358504
0,8,9,0,1,2,57.076877885532596
8,6,5,3,3,1,55.79935745149759
6,7,4,3,3,1,58.26510889031274
5,7,7,2,3,3,102.65586098221573
7,6,2,3,3,1,49.647832067473
4,8,3,1,1,1,23.95058245659174
3,7,8,1,1,2,58.2099054629021
2,3,9,3,1,2,62.65590507685608
5,2,3,1,3,3,28.723685990659344
7,5,6,1,1,2,38.89806193115539
4,6,6,1,1,3,64.55299659194762
6,7,9,3,1,2,76.35249314200553
0,7,8,0,3,2,86.15376204786418
5,8,2,1,2,1,35.92135416434074
7,6,7,2,3,1,51.983245233440364
7,2,2,1,2,1,0.0
7,8,5,1,3,1,55.27138581580889
2,1,6,1,2,3,61.482365178642894
7,5,3,1,2,1,0.0
9,2,8,2,1,1,37.32362100600637
7,1,5,3,2,2,43.31702485166774
8,3,6,1,2,2,46.379328337094314
3,6,5,3,1,1,30.16107779904425
8,9,4,2,3,2,77.13496066635413
2,1,9,1,1,3,74.1238314892046
2,2,5,1,1,2,26.80232965266266
2,1,4,1,2,1,13.981293351117413
8,2,1,1,2,1,15.834115769754874
1,1,7,3,2,2,53.952504022426986
3,2,1,1,1,2,12.338146274866414
6,1,6,2,2,3,67.27298529127424
7,7,6,1,1,2,42.14848686489231
2,7,9,1,2,1,50.704441629900636
3,2,4,3,1,2,27.445850382343774
1,5,3,2,2,1,25.79025636883046
5,8,6,3,3,1,64.98529582913353
9,1,1,2,3,1,26.27690461222554
0,8,3,0,2,2,35.36223912933116
8,1,1,3,1,3,33.69103465315364
4,2,3,3,1,2,27.29346290304695
3,5,9,1,3,3,97.2172988001621
9,6,2,2,3,3,52.798217110050224
2,8,2,2,3,2,54.1430300777487
8,6,9,1,3,1,63.30797500315422
7,2,7,1,2,3,75.283046630699
5,7,4,1,3,3,65.91113958201602
4,2,5,1,1,1,17.174079930232068
4,2,2,1,3,2,20.520191485705
0,2,0,0,2,0,8.185665024297048
1,6,1,3,2,3,30.319982552765428
1,3,6,3,1,1,21.33485411105499
6,1,5,3,2,1,28.480047331421343
7,4,4,3,1,2,39.21642251659373
7,9,2,1,3,1,54.253487362565
9,4,6,3,3,1,49.32376078524427
5,8,6,1,2,2,57.749798640341595
6,6,7,2,1,1,35.6651873400379
4,7,8,2,2,2,83.90360760420258
0,2,6,0,3,3,62.835491655273934
6,6,1,1,1,3,23.5976347706714
8,5,1,3,1,2,33.62912196296537
9,4,8,3,1,3,99.9143293727181
3,6,3,3,1,3,39.94558764119011
5,4,1,2,1,2,22.14270488671156
7,6,2,1,1,2,24.167462605950174
1,9,7,3,2,3,86.30394161334695
2,8,1,3,2,2,38.486598823486595
1,2,8,1,1,3,71.93599100763122
8,4,5,2,2,1,32.93190588168258
9,6,3,1,3,3,51.066656861400276
9,8,3,1,3,2,59.13203142967439
1,5,5,3,1,2,31.419975779748782
9,3,1,3,2,3,40.16226432859581
5,9,6,2,2,3,90.79797943236402
6,6,6,2,1,2,43.02033716743745
5,7,6,1,2,3,80.7999756497488
4,7,5,1,2,2,47.37449749601572
2,3,2,1,3,3,26.89543962905236
2,6,2,1,1,1,18.045929187769744
3,9,8,2,2,3,99.09815563874032
1,9,3,1,3,3,58.14541248456322
2,7,2,3,2,1,34.44389841466845
5,8,4,3,2,1,50.390610424959135
6,6,2,1,2,2,33.62140669276049
5,1,5,3,3,2,43.82405426247097
4,2,7,2,2,3,82.69888254384094
1,8,4,2,1,1,22.69282763341757
3,1,4,1,2,2,24.678507648964516
6,4,3,2,2,2,34.71030041644699
3,5,6,2,1,3,64.45452571387055
1,8,3,3,1,3,33.93676310433864
5,8,9,2,2,1,60.32597457977782
4,9,7,2,2,1,53.153307347708854
9,7,4,1,3,2,59.25733963822541
5,5,6,1,3,3,80.19932749094596
0,9,9,0,1,2,56.8354028367003
3,8,5,2,1,1,31.746817116051176
2,9,7,3,2,3,93.36101787684194
2,4,3,1,2,1,23.187550151967326
8,5,0,2,2,0,27.548290890724964
7,4,4,3,1,3,49.98169105782637
8,4,2,1,2,3,28.260720549908136
3,3,5,1,2,3,50.73138524621618
5,6,3,1,3,3,51.802523818825655
4,1,0,2,1,0,0.0
7,4,4,2,1,1,0.0
4,4,5,1,1,2,29.846293311565507
5,2,1,2,2,2,20.41388657850337
2,7,1,1,1,2,20.322650027247924
5,8,4,2,1,2,39.083302253008256
9,4,8,2,3,3,90.31514593909485
6,3,3,2,1,1,21.774624487462468
6,1,8,2,3,1,43.281539875563574
5,1,4,3,1,1,23.790607509897683
6,7,5,1,2,1,38.403441382251145
2,2,1,2,1,1,0.0
8,4,2,3,3,2,46.23827935812491
2,6,5,1,2,1,32.27851291881335
6,4,6,2,3,1,35.68286443098424
1,1,1,2,1,3,8.220641678725572
1,2,3,2,3,1,18.401484861282253
3,3,9,1,3,3,88.11236201010617
3,7,5,2,1,3,51.96236855648518
2,4,1,1,3,3,28.700197645486693
1,4,7,2,2,3,80.98573985585364
4,4,9,2,1,1,40.35259285349579
3,6,7,1,1,1,30.341004371147637
0,2,5,0,3,3,47.50866070107639
2,3,8,1,3,1,0.0
0,6,7,0,3,3,86.00057699806437
2,1,7,2,1,2,43.736684602402136
9,7,1,1,2,1,30.93361201605787
9,5,4,3,2,1,44.20441019853109
1,2,1,3,3,3,18.05379166934193
1,7,6,2,1,2,39.28924690662828
4,6,2,3,1,1,0.0
9,6,4,2,3,2,60.278483789823376
