x_0,x_1,x_2,y_0,y_1,y_2,f_res
7,7,5,2,3,1,54.33588239828263
8,8,6,3,1,3,81.67980304824442
1,8,4,2,1,2,31.051756573340583
1,3,7,2,2,1,0.0
5,6,5,1,2,2,43.88414493869056
6,6,2,2,3,2,48.628929136883116
8,1,0,1,1,0,0.0
5,3,9,2,2,2,81.79231721255977
9,6,2,3,3,3,62.04658341923429
0,6,4,0,1,3,37.037250611242726
4,5,1,3,1,3,29.747959587844004
6,8,9,3,1,1,52.86991562315945
4,7,5,3,3,1,54.7668285826375
9,3,9,2,1,2,68.66005167490046
7,5,0,3,1,0,26.809944964508976
5,5,4,2,1,1,26.353298427331634
6,9,6,2,3,2,91.31765258152446
5,3,7,2,2,2,61.35058240962347
7,4,3,3,2,2,41.995150231901775
2,6,8,1,2,1,41.839387579169944
6,6,2,2,2,1,34.408588738859955
9,9,6,1,1,1,32.955675939206586
2,2,7,1,3,2,65.61170860448614
4,4,2,3,2,1,0.0
6,3,9,1,2,1,42.77184360066795
6,8,1,3,2,1,46.493356514667774
9,4,9,1,1,1,36.43881290945137
7,3,1,3,3,3,37.667834726726724
7,7,8,3,3,2,111.43129460793318
4,3,8,3,2,1,40.314549557200806
1,5,8,1,2,3,86.53646254036502
3,4,2,1,1,2,20.000381078619476
5,3,8,2,1,2,57.87618168124086
9,8,5,1,1,3,54.706663990779035
2,6,8,1,1,3,81.51387461653385
1,6,8,3,3,2,88.30106610907933
9,9,9,1,2,3,99.66085279085263
4,3,0,1,3,0,19.026488788528482
5,3,8,2,2,1,38.622825246219364
4,4,4,1,1,1,20.270159196464142
0,5,3,0,3,1,31.02266916304914
9,1,3,3,3,1,36.487599578486936
8,6,1,2,3,1,41.66696449226893
1,5,6,3,1,1,24.74336671837525
9,2,5,3,1,1,36.065040066524254
0,4,3,0,1,2,20.838307526284375
7,6,9,1,2,1,50.85407669990676
3,4,7,3,2,1,33.298128205651444
8,4,1,3,2,1,33.76982909343783
7,5,6,3,1,1,36.85280089762513
9,2,8,1,2,1,35.82223588778344
8,8,9,3,1,1,54.634392977317866
0,5,0,0,2,0,17.059178271534655
1,1,4,1,3,3,32.50752302314035
2,9,6,3,3,1,63.17972468284426
5,4,9,1,2,1,0.0
7,2,4,3,1,1,29.43405189572105
4,4,4,2,1,3,39.98192424083663
1,8,2,1,2,2,34.24459663669584
8,2,5,3,3,1,38.71542950814313
4,5,3,2,3,3,50.926715582295316
4,4,9,2,2,3,98.81963410173103
2,7,5,3,1,2,37.89179622292931
8,7,1,3,2,1,44.09781174843033
5,7,3,1,3,2,53.53657071572665
0,4,6,0,3,3,71.89659080930055
2,3,5,1,3,1,23.40534272019959
1,1,1,1,2,2,0.0
7,9,9,2,3,3,117.02938363077882
2,1,3,3,3,1,18.246106631552934
1,6,8,2,2,1,42.04722631755869
5,7,7,2,2,2,71.29588000017954
7,9,2,1,2,2,43.20397089388891
2,8,3,3,3,2,61.30974567717599
8,5,6,2,1,2,44.41568971658551
6,7,1,3,2,1,41.92521214019077
5,3,7,1,1,2,45.01470410477004
5,8,9,3,1,1,51.44808573698345
8,6,6,3,3,3,98.52038313973408
1,1,3,1,1,3,24.084428336375353
8,3,8,2,1,2,60.96094665439506
9,8,6,2,1,1,39.48272600771127
6,1,7,2,2,2,59.752461982750134
8,1,8,2,2,3,80.18871176169374
2,4,5,3,1,3,46.90462087044303
0,6,6,0,3,1,39.79578614627433
2,6,7,2,3,1,46.36211560099474
6,2,1,1,3,3,17.847907809320397
9,9,2,1,3,1,53.963933752090384
9,9,3,3,1,2,49.621127163739445
6,5,2,1,1,1,0.0
4,1,7,3,1,2,47.17385779221369
3,1,8,2,3,2,69.23510283808352
3,1,0,2,1,0,10.783278038704186
6,6,4,1,3,2,52.65717020501577
9,8,2,3,2,2,57.026063874337325
1,1,0,3,1,0,0.0
5,3,5,3,3,3,62.55246713759578
5,7,9,3,1,2,74.69402017564725
7,1,1,2,3,2,23.798879045240767
6,7,8,3,3,2,110.7368844875094
5,7,7,2,2,3,97.63295150204156
3,6,3,1,2,3,41.73463901844606
6,2,4,2,2,2,32.93795550728672
3,7,8,1,2,3,92.77632229184341
7,8,5,2,3,1,61.20178775983591
1,6,8,1,3,3,92.92200022061515
9,7,1,3,2,2,48.979307283790774
9,8,4,1,1,3,44.82283611062558
4,1,6,3,1,2,37.958445977147164
1,3,6,1,2,2,42.212346083107015
8,6,5,3,2,1,46.95102053203956
9,3,7,1,3,1,36.62450616731917
4,6,8,1,2,1,42.80032707818948
8,9,1,2,1,3,38.04531829279393
9,4,7,2,1,1,35.01628498284762
2,9,5,1,2,3,65.99482256965315
2,9,7,2,1,2,50.937475133736264
2,5,8,1,2,3,88.88464183423366
8,8,7,3,2,3,109.34976069475415
4,9,6,1,3,2,83.2087677231192
6,1,7,3,3,2,72.01818323867938
2,9,1,3,3,3,58.22334707829841
3,3,7,2,3,1,34.34875957003397
9,8,3,2,2,3,59.379152553737235
8,2,3,3,2,3,47.18269633032856
8,7,9,3,3,3,120.07805059210447
9,8,1,2,3,1,54.899390843615016
3,8,0,3,2,0,36.97558547203817
2,1,5,1,1,2,26.33439835823101
7,4,9,1,3,2,87.166729943253
4,3,9,2,3,1,0.0
2,2,5,2,1,1,17.172973336321235
9,2,1,3,3,1,36.336057381064336
9,8,8,3,1,1,53.07058056965271
7,6,8,3,3,3,111.61737514383682
5,4,3,2,1,2,28.125259654623633
3,4,1,2,3,1,28.329036360067033
0,1,6,0,3,2,44.84718567357377
9,1,9,2,1,3,89.97160533190457
7,2,1,3,2,2,30.621878551127462
7,7,4,2,2,3,62.673243198353795
7,9,6,1,1,3,69.7395378031716
4,3,9,1,3,2,82.22861415590074
1,2,3,2,2,2,21.979079939114833
7,3,3,2,1,1,23.03661973901553
9,3,2,3,1,2,37.46772804694728
2,1,1,3,2,2,14.497400290052006
9,4,2,2,2,2,33.948213148853654
4,6,6,1,3,3,84.07336632965281
