,x_0,x_1,x_2,y_0,y_1,y_2
1759,1,5,3,1,3,1
1857,1,5,7,1,1,3
12903,6,7,4,3,1,1
15012,7,7,6,1,1,3
3972,2,5,4,2,3,3
2931,2,1,1,3,1,2
4846,2,9,1,3,1,2
6401,3,6,6,3,1,1
5270,3,1,8,3,3,1
2892,1,9,9,2,3,2
35,0,1,4,0,2,3
156,0,2,8,0,3,1
11760,6,2,5,1,2,3
667,0,9,4,0,2,3
7103,3,9,6,1,2,2
5385,3,2,4,1,2,1
6549,3,7,3,1,1,2
18115,9,3,1,2,3,1
18439,9,4,5,2,2,1
19499,9,9,1,1,3,3
5551,3,3,1,1,3,3
8152,4,5,0,3,2,0
13051,6,8,1,1,2,1
11926,6,3,2,3,1,2
9164,4,9,3,3,3,3
3453,2,3,3,2,1,3
3439,2,3,2,3,3,1
18828,9,6,2,2,1,2
2518,1,8,4,3,2,3
6545,3,7,2,3,3,1
11457,6,1,2,1,3,1
10316,5,5,3,1,3,1
7519,4,2,3,3,3,3
6738,3,8,1,1,3,3
17011,8,7,4,1,3,1
826,1,1,4,3,3,3
17694,9,1,3,2,1,3
17461,8,9,3,2,1,2
4883,2,9,3,1,3,1
6564,3,7,3,2,3,3
3634,2,4,1,1,1,1
3964,2,5,4,2,1,1
1335,1,3,5,3,2,1
14423,7,5,1,1,3,3
14278,7,4,4,3,3,3
2,0,1,0,0,3,0
14016,7,3,3,1,2,2
3483,2,3,4,2,3,2
7064,3,9,4,3,1,1
17210,8,8,2,3,3,1
8165,4,5,1,2,1,3
9422,5,1,4,3,1,1
11264,5,9,4,1,1,2
8019,4,4,5,1,1,3
10147,5,4,5,3,2,1
7239,4,1,2,1,1,2
3927,2,5,2,3,2,2
10967,5,8,1,3,1,3
10070,5,4,2,2,3,3
10143,5,4,5,2,3,3
10521,5,6,2,2,1,1
7236,4,1,1,3,3,1
11488,6,1,3,2,1,3
8941,4,8,4,2,3,1
12878,6,7,3,2,3,2
7979,4,4,3,2,1,2
3057,2,1,6,2,2,2
12402,6,5,3,1,1,3
5941,3,4,7,1,3,1
1181,1,2,9,2,1,3
12114,6,4,1,1,1,1
9577,5,2,1,2,2,3
9122,4,9,2,2,1,1
15685,8,1,4,3,3,1
9912,5,3,5,3,1,3
5144,3,1,3,3,2,1
13980,7,3,1,2,2,3
7769,4,3,4,2,2,3
12417,6,5,3,3,1,2
8707,4,7,4,3,1,3
10985,5,8,2,2,2,2
16313,8,4,3,3,1,1
14289,7,4,5,2,1,3
13345,6,9,3,1,3,3
13411,6,9,5,3,2,3
11422,6,1,0,2,1,0
7625,4,2,8,1,1,2
8247,4,5,4,3,2,3
6474,3,6,9,2,2,2
14405,7,4,9,3,3,2
